comment_text,comment_speed,comment_service,comment_taste,comment_time
Yediğim en iyi köfte ekmekti. Elinize emeğinize sağlık. Köfte ekmekte tek adresimsiniz artık.,10.0,10.0,10.0,1606441074
Sadece geç geldi.,7.0,10.0,10.0,1605922674
İyi.,8.0,8.0,9.0,1605836274
Servis lezzet hız gerçekten muazzam gelen kurye arkadaşda güleryüzlü bol kazançlar.,10.0,10.0,10.0,1605577074
Biraz gecikti ama kuryeniz kibar biri olduğu için hız da 10. Ellerinize sağlık çok iyiydi tadı.,10.0,10.0,10.0,1605404274
Bu fiyata bu kalite gercekten muhtesem ellerinize sahlik icndeki puding cok guzel fikir olmus ve kurye cidden hizli gldi ve kibardi artik favorimsiniz boyle dewam edin lutfen kaliteyi bozmayin.,10.0,10.0,10.0,1605145074
Hayatımda yediğim en güzel köfte ekmekti.,10.0,10.0,10.0,1604885874
Elleriniz dert görmesin inşaallah. Su ve puding için ayrıca teşekkür ederiz bu kaliteyi bozmayın aynen devam :).,10.0,10.0,10.0,1604713074
Ellerinize saglik hersey cok guzeldi.,10.0,10.0,10.0,1604713074
Hayatımda yediğim en iyi koftelerdendi diyebilirim içinizde en ufak bir şüphe kalmasın gönül rahatlığıyla sipariş edebilirsiniz.,10.0,10.0,10.0,1604713074
Köfte ekmek ve patates kızartmas�� bir harikaydı ellerinize sağlık.,10.0,10.0,10.0,1604540274
Oncelikle cook begendigimi soyleywbilirim ve kurye cok kibar ve guler yuzluydu siparisler dolu dolu geldi ya indaki puding supriz oldu cok gzel hizmet veriyorsunuz cok begendim artik favorimsiniz bol kazanclar.,10.0,10.0,10.0,1604453874
Gayet kaliteli ve lezzetli.,10.0,10.0,10.0,1604453874
Çok güzel.,10.0,10.0,10.0,1604281074
Köfte çok güzeldi acılı söylemiştim acılı geldi ama istediğim düzeyde değildi birde sütlü ekmek değilde karafirin ekmeği daha güzel olur sütlü ekmeğe pek yakışmamış köfte.,10.0,10.0,10.0,1604021874
Köfte biraz acıydı ama çok lezzetliydi.,10.0,10.0,10.0,1603811328
İsmi yeter.,10.0,10.0,10.0,1603811328
Gayet güzeldi.,10.0,9.0,10.0,1603811328
Kurye çok guleryuzlu teşekkürler.,10.0,10.0,10.0,1603811328
Aşırı küçük geldi ama tadı fena değil.,8.0,6.0,8.0,1603811328
Köfte ekmek 15 lira olsun ekmeği büyük olsun malzemesi bol olsun köftede sorun yok. Ama ekmek ve malzeme ne kadar az.,10.0,5.0,5.0,1603811328
Süpeerrr.,10.0,10.0,10.0,1603811328
İyi.,6.0,9.0,8.0,1603811328
"Aga allah için baharat kullanın şu patateste, köfte ekmeğin de yarısı boş.",7.0,5.0,3.0,1603811328
Hep iyi yapiyordunuz ama bu kez cok aci geldi oncekiler kadar da lezzetli olmamisti :(.,9.0,8.0,7.0,1603811328
Güzeldi.,10.0,10.0,10.0,1603811328
Başarılı adamım.,10.0,10.0,10.0,1603811328
Güzel ama fiyat cok pahalı malesef.,9.0,8.0,9.0,1601181582
"Ete tuz banyosu yaptırılmış, sütlü ekmekle köfte olmaz ve biraz daha pişmeliydi. Sadece hızlı gelmesi sevindirici, yemek sepeti yorumlarına ve puanlarına aldandım birazcık dikkat ve özen ile daha iyi olabilir.",9.0,6.0,4.0,1601181582
Çok iyiydi.,10.0,10.0,10.0,1601181583
Bu restoranın kazandığı paranın yüzde yüzü helal minumum kar ile en iyi işi yapıyorlar. Ürünleri kaliteli ve temiz. İnşallah rsstotanonız çok daha iyi yerlere gelecektir. Eleştirilecek nokta değil 1 tl maliyet artsın ürün başı ama bu ürünleri giydirin görün bakalım neler oluyor. Hayırlı kazançlar..,10.0,10.0,10.0,1601181583
"Gayet güzel, anne eli değmiş gibi.",9.0,9.0,9.0,1601181583
"Çok lezzetli, hızlı ve dolu bir porsiyon olarak geldi. Bayıldııııım.",10.0,10.0,10.0,1601181583
Çok güzeldi elinize sağlık.,10.0,10.0,10.0,1601181583
Mükemmel.,10.0,10.0,10.0,1601181583
Gec geldi ama degdi.,10.0,10.0,10.0,1601181583
İlk defa siparis verdim hizli geldi ve tadi fena degildi. Ama baharatta bir eksiklik var sanki cözemedim ama çözersem diger sipariste bunu belirtcem kolay gelsin.,10.0,9.0,8.0,1601181583
Gec saatte köfte ve sucuk söylemiştim hic fena değildi gayet güzel gitti o saatte.,9.0,8.0,9.0,1601181583
Hamburger siparis ettim. Ekmekleri çok güzel köftesi de anne köftesi. Mutlaka denemenizi tavsiye ederim. Her zamanki gibi yine bir numarasınız. Hastasıyız.,10.0,10.0,10.0,1601181583
Elinize sağlık.,10.0,10.0,10.0,1601181583
Ömrümde yediğim en güzel köfte ekmekti elinize sağlık teşekkürler.,10.0,10.0,10.0,1601181583
Fena değildi.,8.0,8.0,8.0,1601181583
Sıcak ve güzel geldi.,9.0,9.0,9.0,1601181583
Kaliteli lezzetli. Çok muthiş bi işletme.,10.0,10.0,10.0,1601181583
Hamburgeri çok güzeldi patatesleri de öyle. Sürpriz hediye pudingi de çok mutlu etti başarılar dilerim.,10.0,10.0,10.0,1601181583
Muhteşem lezzet.,10.0,10.0,10.0,1601181583
Kaliteli işletme herşey için teşekkür ederim.,10.0,10.0,10.0,1601181583
Malzeme bol. Ekmeği biraz büyütün veya melzemeyi az tutun ellerinize sağlık.,9.0,9.0,9.0,1601181583
"Bi işletmenin kalitesini bence kurye belirler. Adanada gördüğüm en kibar, en güler yuzlu kuryeydi.",10.0,10.0,10.0,1601181583
İlk kez begenmedim...,7.0,7.0,7.0,1601181583
İlk defa çok kötü geldi hep sinir vardı ve tatsız tuzsuz kup kuruydu et yakışmadı.,5.0,1.0,1.0,1601181583
"Ilk siparisimizdi ve ef sa ney di hic bozmayin sonradan bozulanlar gibi! Ustelik tursu bol olsun dedik fazla fazla gondermisler, bir de cikolatali puding gondermisler cok tesekkur ederiz:).",10.0,10.0,10.0,1601181583
Servis ve lezzet kötüydü.,1.0,1.0,1.0,1601181583
Köfte ekmek güzeldi ama patatesler fazla yanmıştı normal.,9.0,10.0,8.0,1601181583
Krallar. Söyleceklerim bu kadar.,10.0,10.0,10.0,1601181583
Elinize sağlık.,10.0,10.0,10.0,1601181583
İşini iyi ve hakkıyla yapanlara saygım sonsuz. Her şey harikaydı lezzete ve servise 11 verilebilse verirdim. İkram için ayrıyetten teşekkür ederim.,10.0,10.0,10.0,1601181583
Köfte ekmek muazzam..,10.0,10.0,10.0,1601181583
Her zamanki gibi 10/10.,10.0,10.0,10.0,1601181583
Kilo alıyorum bura yüzünden ama olsun çok güzeel.,10.0,10.0,10.0,1601181583
Hızlı ve lezzetli. Notum dikkate alınmıştı. Getiren arkadaş da iyi biriydi. Böyle devam ederseniz iyi yerlere gelirsiniz diye düşünüyorum.,10.0,10.0,10.0,1598551837
Çok kötü köfte çok az çok tuz basmışlar geç geldi servisncok kötü.,3.0,1.0,1.0,1598551837
Ellerinize sağlık.,10.0,10.0,10.0,1598551837
Güzeldi.,10.0,10.0,10.0,1598551837
Efsanesiniz.,10.0,10.0,10.0,1598551837
Abartısız her gece söylüyoruz gündüz açık olsa gündüz de sipariş vericez öyle sevmek..,10.0,10.0,10.0,1598551837
Evin uzak olmasına ragmen sıcacık geldi ve herşey gerçekten çok güzeldi ikramınız için teşekkürler.,10.0,10.0,10.0,1598551837
Her zamanki gibi. Kaliteli.,10.0,10.0,10.0,1598551837
Herşey mükemmel.,10.0,10.0,10.0,1598551837
Helal olsun. Sakın bozmayın kendinizi.,10.0,10.0,10.0,1598551837
Sinan kardeşime teşekkür ediyorum kibarlık sbidesi menünün kolası çok küçük tü onun dışında herşey güzeldi elinize sağlık.,10.0,8.0,10.0,1598551837
Çok iyi.,9.0,9.0,9.0,1598551837
Güzeldi.,9.0,9.0,9.0,1598551837
Efso.,10.0,10.0,10.0,1598551837
Eker puding söylememe rağmen ikram olarak göndermeniz çok hoştu. Teşekkürler. ) lezzetli ve doyurucuydu. Elinize sağlık. Menüye sütaş ayran da eklerseniz güzel olur aslında. :).,10.0,10.0,10.0,1598551837
Herseyler cok kaliteli ve basarili. İns hep boyle devam eder.,10.0,10.0,10.0,1598551837
Ikraminiz için çok teşekkür ederim ellerinize sağlık :).,10.0,10.0,10.0,1598551837
Enfesss.,10.0,10.0,10.0,1598551837
Sucuk ekmek enfes.,10.0,10.0,10.0,1598551837
"Ilk kez siparis verdim. Eger gece acikirsaniz, kesinlikle guvenerek pisman olmadan siparis verebilceginiz bir yer. Kofte sandvic daha cok tantuni gibiydi ama cok guzeldi.",10.0,10.0,10.0,1598551837
İyiydi.,10.0,10.0,10.0,1598551837
Fenaaaaa.,10.0,10.0,10.0,1598551837
Yemegin tadı gayet yerindeydi. Paketçi arkadaşta çok mütevaziydi tavsiye ederim.,10.0,10.0,10.0,1598551837
Yanlış adrese istemiştim gece saatinde ona rağmen arayıp adrese getirdiler sıcak ve gayet lezzetliydi. Getiren arkadaşa teşekkür ederim anlayışlı birisi.,10.0,10.0,10.0,1598551837
Ekmek bayattı ilk defa ve yakıştıramadım size.,7.0,5.0,3.0,1598551837
Adersime ilk kez gelmesine rağmen bulmak için büyük mücedele veren servis elemanı arkadaşı cidden ayakta alkışlıyorum. Elinize sağlık iyiydi.,8.0,9.0,9.0,1598551837
Çok iyi.,10.0,10.0,10.0,1598551837
Evet gecenin yıldızı sizsiniz. Harikaydı yanındaki ikram içinde teşekkür ederim.,10.0,10.0,10.0,1598551837
Hayatımda yediğim en iyi köteydi elerinize sağlık.,10.0,10.0,10.0,1598551837
Başarılı...,9.0,9.0,9.0,1598551839
Gayet guzel.,10.0,10.0,10.0,1598551839
Her zaman cok basarili.,10.0,10.0,10.0,1598551839
Soğansız istediğim halde soğanlı geldi.,8.0,7.0,5.0,1598551839
"Kurye arkadaşın guleryuzlulugu, yapılan ikram ve koftenin tadı adanadaki sayılı işletmelerden biri haline getirmiş sizi. Yolunuz açık olsun.",10.0,10.0,10.0,1598551839
Turşuyu fazla koyum bisi olmaz :).,10.0,10.0,10.0,1598551839
Patsoda kaşar da olsa en azından seçenek olarak sunulsa daha da iyi olur. Elinize sağlık teşekkürler.,10.0,10.0,10.0,1598551839
Ellerinize sağlık.,10.0,9.0,9.0,1598551839
İşletme sahibi arkadaş görüşlerinizi önemsiyor. Lezzeti de güzel doyurucu emeğinize sağlık...,10.0,10.0,10.0,1598551839
Lezzeti 10 numara. Sogan ıstmedıgım halde soganu yanlıslıkla koymuslar ama telefonla arayıp özür dileyip degıstırebılırz demeleri çok zarif böyle işletmeler çogalsın. Soganlı bıle mükemmeldı.,10.0,10.0,10.0,1598551839
Yediğim en kötü köfte olabilir. Ayrıca köfte sütlü ekmekte olmaz. Köfte dediğin somunla olur.,10.0,1.0,1.0,1598551839
Çok güzeldi turşu biraz fazla olsaydı keşke çünkü çok güzeldi 10-10-10.,10.0,10.0,10.0,1598551839
Efsaaanneeeee.,10.0,10.0,10.0,1598551839
Gayet iyiydi.,10.0,10.0,10.0,1598551839
Köfteleri el yapımı ve lezzetliydi. Bide hediye göndermişler :). Çok teşekkürler memmun kaldım. Hayırlı işleriniz olsun rabbim bol kazanc versin.,10.0,10.0,10.0,1598551839
Başarılı...,9.0,9.0,8.0,1598551839
Her zamanki gibi mükkemel.,10.0,10.0,10.0,1595922093
Gayet iyiydi gec saatte acik boyle kaliteli bir yer olmasi guzel ayrica puding ikraminiz icin tesekkurler.,10.0,10.0,10.0,1595922093
Böyle bi lezzet yokk yemeden ölmeyin.,10.0,10.0,10.0,1595922093
"İkram için teşekkürler, emeğinize sağlık.",10.0,10.0,10.0,1595922093
Lezzetli gerçekten köfte yediğinizi hissediyorsunuz ama porsiyonlarına göre biraz pahalı kalıyor duyurmadı yani.,8.0,8.0,8.0,1595922093
Süper hız süper lezzet.,10.0,10.0,10.0,1595922093
"Muthis. Ayrica kurye arkadasa da tesekkurler. Asansor 12. Kattaydi, dedim acaba bekleyecek mi onu cunku benim evim 2. Katta, istekli insanlar direkt hizli olsun diye yuruyor bu durumlarda. Kendisi de hizlica kosarak getirdi cok cok tesekkurler.",10.0,10.0,10.0,1595922093
